run_id,sample,sample_size_bytes,iteration,metric,value,unit,environment,exe_hash
run_sample_no_attachments.msg_5,sample_no_attachments.msg,5632,5,process_exit_ms,9.61,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_1,sample_long_subject.msg,5632,1,launch_and_open_ms,9.76,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_1,sample_long_subject.msg,5632,1,process_exit_ms,5.08,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_2,sample_long_subject.msg,5632,2,launch_and_open_ms,15.09,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_2,sample_long_subject.msg,5632,2,process_exit_ms,5.86,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_3,sample_long_subject.msg,5632,3,launch_and_open_ms,13.35,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_3,sample_long_subject.msg,5632,3,process_exit_ms,9.44,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_4,sample_long_subject.msg,5632,4,launch_and_open_ms,12.23,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_4,sample_long_subject.msg,5632,4,process_exit_ms,7.15,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_5,sample_long_subject.msg,5632,5,launch_and_open_ms,9.97,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_long_subject.msg_5,sample_long_subject.msg,5632,5,process_exit_ms,7.1,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
binary_size,N/A,0,1,binary_size_bytes,43008,bytes,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
